time;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
14.0;15.2;1;0;30;8;2023;0;2;422.759;422.759
15.0;15.3;1;0;30;8;2023;0;2;422.759;422.759
16.0;15.3;1;0;30;8;2023;0;2;422.759;422.759
17.0;15.3;1;0;30;8;2023;0;2;422.759;422.759
18.0;15.2;1;0;30;8;2023;0;2;422.759;422.759
19.0;15.1;0;0;30;8;2023;0;2;422.759;422.759
20.0;14.9;0;0;30;8;2023;0;2;422.759;422.759
21.0;14.7;0;0;30;8;2023;0;2;422.759;422.759
22.0;14.5;0;0;30;8;2023;0;2;422.759;422.759
23.0;14.4;0;0;30;8;2023;0;2;422.759;422.759
0.0;14.3;0;0;30;8;2023;0;2;422.759;422.759
1.0;14.1;0;0;30;8;2023;0;2;422.759;422.759
2.0;13.9;0;0;30;8;2023;0;2;422.759;422.759
3.0;13.8;0;0;31;8;2023;0;3;422.759;422.759
4.0;13.6;0;0;31;8;2023;0;3;422.759;422.759
5.0;13.4;0;0;31;8;2023;0;3;422.759;422.759
6.0;13.6;0;0;31;8;2023;0;3;422.759;422.759
7.0;14.6;0;0;31;8;2023;0;3;422.759;422.759
8.0;15.9;0;0;31;8;2023;0;3;422.759;422.759
9.0;17.2;0;0;31;8;2023;0;3;422.759;422.759
10.0;18.2;0;0;31;8;2023;0;3;422.759;422.759
11.0;19.2;0;0;31;8;2023;0;3;422.759;422.759
12.0;19.9;0;0;31;8;2023;0;3;422.759;422.759
13.0;20.5;0;0;31;8;2023;0;3;422.759;422.759
14.0;20.9;0;0;31;8;2023;0;3;422.759;422.759
15.0;20.9;0;0;31;8;2023;0;3;422.759;422.759
16.0;20.3;0;0;31;8;2023;0;3;422.759;422.759
17.0;19.2;0;0;31;8;2023;0;3;422.759;422.759
18.0;18.1;0;1;31;8;2023;0;3;422.759;422.759
19.0;17.2;0;1;31;8;2023;0;3;422.759;422.759
20.0;16.4;0;1;31;8;2023;0;3;422.759;422.759
21.0;15.6;0;1;31;8;2023;0;3;422.759;422.759
22.0;15.1;0;1;31;8;2023;0;3;422.759;422.759
23.0;14.7;0;1;31;8;2023;0;3;422.759;422.759
0.0;14.4;0;0;31;8;2023;0;3;422.759;422.759
1.0;13.9;0;0;31;8;2023;0;3;422.759;422.759
2.0;13.5;0;0;31;8;2023;0;3;422.759;422.759
3.0;13.2;0;0;1;9;2023;0;4;422.759;422.759
4.0;13.2;0;1;1;9;2023;0;4;422.759;422.759
5.0;13.3;0;1;1;9;2023;0;4;422.759;422.759
6.0;13.9;0;1;1;9;2023;0;4;422.759;422.759
7.0;15.3;0;0;1;9;2023;0;4;422.759;422.759
8.0;17.2;0;0;1;9;2023;0;4;422.759;422.759
